LocationID,CountryName,Population
4,Afghanistan,38928346
8,Albania,2877797
12,Algeria,43851044
20,Andorra,77265
24,Angola,32866272
28,Antigua and Barbuda,97929
32,Argentina,45195774
51,Armenia,2963243
36,Australia,25499884
40,Austria,9006398
31,Azerbaijan,10139177
44,Bahamas,393244
48,Bahrain,1701575
50,Bangladesh,164689383
52,Barbados,287375
112,Belarus,9449323
56,Belgium,11589623
84,Belize,397628
204,Benin,12123200
64,Bhutan,771608
68,Bolivia,11673021
70,Bosnia and Herzegovina,3280819
72,Botswana,2351627
76,Brazil,212559417
96,Brunei,437479
100,Bulgaria,6948445
854,Burkina Faso,20903273
108,Burundi,11890784
384,Côte d'Ivoire,26378274
132,Cabo Verde,555987
116,Cambodia,16718965
120,Cameroon,26545863
124,Canada,37742154
140,Central African Republic,4829767
148,Chad,16425864
152,Chile,19116201
156,China,1439323776
170,Colombia,50882891
174,Comoros,869601
178,Congo (Congo-Brazzaville),5518087
188,Costa Rica,5094118
191,Croatia,4105267
192,Cuba,11326616
196,Cyprus,1207359
203,Czechia,10708981
180,Democratic Republic of the Congo,89561403
208,Denmark,5792202
262,Djibouti,988000
212,Dominica,71986
214,Dominican Republic,10847910
218,Ecuador,17643054
818,Egypt,102334404
222,El Salvador,6486205
226,Equatorial Guinea,1402985
232,Eritrea,3546421
233,Estonia,1326535
748,Eswatini ,1160164
231,Ethiopia,114963588
242,Fiji,896445
246,Finland,5540720
250,France,65273511
266,Gabon,2225734
270,Gambia,2416668
268,Georgia,3989167
276,Germany,83783942
288,Ghana,31072940
300,Greece,10423054
308,Grenada,112523
320,Guatemala,17915568
324,Guinea,13132795
624,Guinea-Bissau,1968001
328,Guyana,786552
332,Haiti,11402528
336,Holy See,801
340,Honduras,9904607
348,Hungary,9660351
352,Iceland,341243
356,India,1380004385
360,Indonesia,273523615
364,Iran,83992949
368,Iraq,40222493
372,Ireland,4937786
376,Israel,8655535
380,Italy,60461826
388,Jamaica,2961167
392,Japan,126476461
400,Jordan,10203134
398,Kazakhstan,18776707
404,Kenya,53771296
296,Kiribati,119449
414,Kuwait,4270571
417,Kyrgyzstan,6524195
418,Laos,7275560
428,Latvia,1886198
422,Lebanon,6825445
426,Lesotho,2142249
430,Liberia,5057681
434,Libya,6871292
438,Liechtenstein,38128
440,Lithuania,2722289
442,Luxembourg,625978
450,Madagascar,27691018
454,Malawi,19129952
458,Malaysia,32365999
462,Maldives,540544
466,Mali,20250833
470,Malta,441543
584,Marshall Islands,59190
478,Mauritania,4649658
480,Mauritius,1271768
484,Mexico,128932753
583,Micronesia,548914
498,Moldova,4033963
492,Monaco,39242
496,Mongolia,3278290
499,Montenegro,628066
504,Morocco,36910560
508,Mozambique,31255435
104,Myanmar ,54409800
516,Namibia,2540905
520,Nauru,10824
524,Nepal,29136808
528,Netherlands,17134872
554,New Zealand,4822233
558,Nicaragua,6624554
562,Niger,24206644
566,Nigeria,206139589
408,North Korea,25778816
807,North Macedonia,2083374
580,Norway,5421241
512,Oman,5106626
586,Pakistan,220892340
585,Palau,18094
275,Palestine State,5101414
591,Panama,4314767
598,Papua New Guinea,8947024
600,Paraguay,7132538
604,Peru,32971854
608,Philippines,109581078
616,Poland,37846611
620,Portugal,10196709
634,Qatar,2881053
642,Romania,19237691
643,Russia,145934462
649,Rwanda,12952218
659,Saint Kitts and Nevis,53199
662,Saint Lucia,183627
670,Saint Vincent and the Grenadines,110940
882,Samoa,198414
674,San Marino,33931
678,Sao Tome and Principe,219159
682,Saudi Arabia,34813871
686,Senegal,16743927
688,Serbia,8737371
690,Seychelles,98347
694,Sierra Leone,7976983
702,Singapore,5850342
703,Slovakia,5459642
705,Slovenia,2078938
90,Solomon Islands,686884
706,Somalia,15893222
710,South Africa,59308690
410,South Korea,51269185
728,South Sudan,11193725
724,Spain,46754778
144,Sri Lanka,21413249
729,Sudan,43849260
740,Suriname,586632
752,Sweden,10099265
756,Switzerland,8654622
760,Syria,17500658
762,Tajikistan,9537645
834,Tanzania,59734218
764,Thailand,69799978
626,Timor-Leste,1318445
768,Togo,8278724
776,Tonga,105695
780,Trinidad and Tobago,1399488
788,Tunisia,11818619
792,Turkey,84339067
795,Turkmenistan,6031200
798,Tuvalu,11792
800,Uganda,45741007
804,Ukraine,43733762
784,United Arab Emirates,9890402
826,United Kingdom,67886011
840,United States of America,331002651
858,Uruguay,3473730
860,Uzbekistan,33469203
548,Vanuatu,307145
862,Venezuela,28435940
704,Vietnam,97338579
887,Yemen,29825964
894,Zambia,18383955
716,Zimbabwe,14862924
344,Hong Kong,7507000
