VariantID,ResearcherID,Status_of_Research
101001,1021001,complete
101001,1021002,complete
101001,1021003,complete
101001,1021004,complete
101001,1021005,complete
101002,1021003,complete
101002,1021004,complete
101002,1021005,complete
101003,1021003,complete
101003,1021004,complete
101003,1021005,complete
101004,1021006,ongoing
101004,1021007,ongoing
101007,1021008,ongoing
101007,1021009,ongoing
101005,1021010,ongoing
101005,1021011,ongoing
101006,1021012,ongoing
101008,1021013,ongoing
101009,1021014,ongoing
101014,1021015,complete
101014,1021016,complete
101014,1021017,complete
101015,1021015,complete
101015,1021016,complete
101015,1021017,complete
101010,1021017,complete
101011,1021017,complete
101012,1021018,complete
101012,1021019,complete
101013,1021018,complete
101013,1021019,complete
101021,1021020,complete
101022,1021020,complete
101023,1021020,complete
101024,1021020,complete
101019,1021021,complete
101019,1021022,complete
101020,1021021,complete
101020,1021022,complete
101025,1021023,complete
101025,1021024,complete
101017,1021026,complete
101017,1021027,complete
101018,1021027,ongoing
101027,1021028,complete
101027,1021029,complete
101016,1021028,complete
101016,1021029,complete
